cod_ibge,municipio,regiao_integracao
1500107,Abaetetuba,Tocantins
1500131,Abel Figueiredo,Rio Capim
1500206,Acará,Tocantins
1500305,Afuá,Marajó
1500347,Água Azul do Norte,Araguaia
1500404,Alenquer,Baixo Amazonas
1500503,Almeirim,Baixo Amazonas
1500602,Altamira,Xingu
1500701,Anajás,Marajó
1500800,Ananindeua,Guajará
1500859,Anapu,Xingu
1500909,Augusto Corrêa,Rio Caeté
1500958,Aurora do Pará,Rio Capim
1501006,Aveiro,Tapajós
1501105,Bagre,Marajó
1501204,Baião,Tocantins
1501253,Bannach,Araguaia
1501303,Barcarena,Tocantins
1501402,Belém,Guajará
1501451,Belterra,Baixo Amazonas
1501501,Benevides,Guajará
1501576,Bom Jesus do Tocantins,Carajás
1501600,Bonito,Rio Caeté
1501709,Bragança,Rio Caeté
1501725,Brasil Novo,Xingu
1501758,Brejo Grande do Araguaia,Carajás
1501782,Breu Branco,Lago Tucuruí
1501808,Breves,Marajó
1501907,Bujaru,Rio Capim
1502004,Cachoeira do Arari,Marajó
1501956,Cachoeira do Piriá,Rio Caeté
1502103,Cametá,Tocantins
1502152,Canaã dos Carajás,Carajás
1502202,Capanema,Rio Caeté
1502301,Capitão Poço,Rio Capim
1502400,Castanhal,Guamá
1502509,Chaves,Marajó
1502608,Colares,Guamá
1502707,Conceição do Araguaia,Araguaia
1502756,Concórdia do Pará,Rio Capim
1502764,Cumaru do Norte,Araguaia
1502772,Curionópolis,Carajás
1502806,Curralinho,Marajó
1502855,Curuá,Baixo Amazonas
1502905,Curuçá,Guamá
1502939,Dom Eliseu,Rio Capim
1502954,Eldorado dos Carajás,Carajás
1503002,Faro,Baixo Amazonas
1503044,Floresta do Araguaia,Araguaia
1503077,Garrafão do Norte,Rio Capim
1503093,Goianésia do Pará,Lago Tucuruí
1503101,Gurupá,Marajó
1503200,Igarapé-Açu,Guamá
1503309,Igarapé-Miri,Tocantins
1503408,Inhangapi,Guamá
1503457,Ipixuna do Pará,Rio Capim
1503507,Irituia,Rio Capim
1503606,Itaituba,Tapajós
1503705,Itupiranga,Lago Tucuruí
1503754,Jacareacanga,Tapajós
1503804,Jacundá,Lago Tucuruí
1503903,Juruti,Baixo Amazonas
1504000,Limoeiro do Ajuru,Tocantins
1504059,Mãe do Rio,Rio Capim
1504109,Magalhães Barata,Guamá
1504208,Marabá,Carajás
1504307,Maracanã,Guamá
1504406,Marapanim,Guamá
1504422,Marituba,Guajará
1504455,Medicilândia,Xingu
1504505,Melgaço,Marajó
1504604,Mocajuba,Tocantins
1504703,Moju,Tocantins
1504752,Mojuí dos Campos,Baixo Amazonas
1504802,Monte Alegre,Baixo Amazonas
1504901,Muaná,Marajó
1504950,Nova Esperança do Piriá,Rio Capim
1504976,Nova Ipixuna,Lago Tucuruí
1505007,Nova Timboteua,Rio Caeté
1505031,Novo Progresso,Tapajós
1505064,Novo Repartimento,Lago Tucuruí
1505106,Óbidos,Baixo Amazonas
1505205,Oeiras do Pará,Tocantins
1505304,Oriximiná,Baixo Amazonas
1505403,Ourém,Rio Capim
1505437,Ourilândia do Norte,Araguaia
1505486,Pacajá,Xingu
1505494,Palestina do Pará,Carajás
1505502,Paragominas,Rio Capim
1505536,Parauapebas,Carajás
1505551,Pau D'Arco,Araguaia
1505601,Peixe-Boi,Rio Caeté
1505635,Piçarra,Carajás
1505650,Placas,Xingu
1505700,Ponta de Pedras,Marajó
1505809,Portel,Marajó
1505908,Porto de Moz,Xingu
1506005,Prainha,Baixo Amazonas
1506104,Primavera,Rio Caeté
1506112,Quatipuru,Rio Caeté
1506138,Redenção,Araguaia
1506161,Rio Maria,Araguaia
1506187,Rondon do Pará,Rio Capim
1506195,Rurópolis,Tapajós
1506203,Salinópolis,Rio Caeté
1506302,Salvaterra,Marajó
1506351,Santa Bárbara do Pará,Guajará
1506401,Santa Cruz do Arari,Marajó
1506500,Santa Isabel do Pará,Guamá
1506559,Santa Luzia do Pará,Rio Caeté
1506583,Santa Maria das Barreiras,Araguaia
1506609,Santa Maria do Pará,Guamá
1506708,Santana do Araguaia,Araguaia
1506807,Santarém,Baixo Amazonas
1506906,Santarém Novo,Rio Caeté
1507003,Santo Antônio do Tauá,Guamá
1507102,São Caetano de Odivelas,Guamá
1507151,São Domingos do Araguaia,Carajás
1507201,São Domingos do Capim,Guamá
1507300,São Félix do Xingu,Araguaia
1507409,São Francisco do Pará,Guamá
1507458,São Geraldo do Araguaia,Carajás
1507466,São João da Ponta,Guamá
1507474,São João de Pirabas,Rio Caeté
1507508,São João do Araguaia,Carajás
1507607,São Miguel do Guamá,Guamá
1507706,São Sebastião da Boa Vista,Marajó
1507755,Sapucaia,Araguaia
1507805,Senador José Porfírio,Xingu
1507904,Soure,arajó
1507953,Tailândia,Tocantins
1507961,Terra Alta,Guamá
1507979,Terra Santa,Baixo Amazonas
1508001,Tomé-Açu,Rio Capim
1508035,Tracuateua,Rio Caeté
1508050,Trairão,Tapajós
1508084,Tucumã,Araguaia
1508100,Tucuruí,Lago Tucuruí
1508126,Ulianópolis,Rio Capim
1508159,Uruará,Xingu
1508209,Vigia,Guamá
1508308,Viseu,Rio Caeté
1508357,Vitória do Xingu,Xingu
1508407,Xinguara,Araguaia
